taxonomy;value;parent;langcode;parent_district
project_district;Koko Helsinki;;fi;
project_district;Hela Helsingfors;Koko Helsinki;sv;
project_district;All Helsinki;Koko Helsinki;en;
project_district;Alppiharju;;fi;
project_district;Åshöjden;Alppiharju;sv;
project_district;Alppiharju;Alppiharju;en;
project_district;Eira;;fi;
project_district;Eira;Eira;sv;
project_district;Eira;Eira;en;
project_district;Hermanni;;fi;
project_district;Hermanstad;Hermanni;sv;
project_district;Hermanni;Hermanni;en;
project_district;Herttoniemi;;fi;
project_district;Hertonäs;Herttoniemi;sv;
project_district;Herttoniemi;Herttoniemi;en;
project_district;Kaartinkaupunki;;fi;
project_district;Gardesstaden;Kaartinkaupunki;sv;
project_district;Kaartinkaupunki;Kaartinkaupunki;en;
project_district;Kamppi;;fi;
project_district;Kampen;Kamppi;sv;
project_district;Kamppi;Kamppi;en;
project_district;Kluuvi;;fi;
project_district;Gloet;Kluuvi;sv;
project_district;Kluuvi;Kluuvi;en;
project_district;Kalasatama;;fi;
project_district;Fiskehamnen;Kalasatama;sv;
project_district;Kalasatama;Kalasatama;en;
project_district;Koivusaari;;fi;
project_district;Björkholmen;Koivusaari;sv;
project_district;Koivusaari;Koivusaari;en;
project_district;Kruununhaka;;fi;
project_district;Kronohagen;Kruununhaka;sv;
project_district;Kruununhaka;Kruununhaka;en;
project_district;Käpylä;;fi;
project_district;Kottby;Käpylä;sv;
project_district;Käpylä;Käpylä;en;
project_district;Lauttasaari;;fi;
project_district;Drumsö;Lauttasaari;sv;
project_district;Lauttasaari;Lauttasaari;en;
project_district;Malmi;;fi;
project_district;Malm;Malmi;sv;
project_district;Malmi;Malmi;en;
project_district;Munkkiniemi;;fi;
project_district;Munksnäs;Munkkiniemi;sv;
project_district;Munkkiniemi;Munkkiniemi;en;
project_district;Oulunkylä;;fi;
project_district;Åggelby;Oulunkylä;sv;
project_district;Oulunkylä;Oulunkylä;en;
project_district;Pitäjänmäki;;fi;
project_district;Sockenbacka;Pitäjänmäki;sv;
project_district;Pitäjänmäki;Pitäjänmäki;en;
project_district;Ruskeasuo;;fi;
project_district;Brunakärr;Ruskeasuo;sv;
project_district;Ruskeasuo;Ruskeasuo;en;
project_district;Suomenlinna;;fi;
project_district;Sveaborg;Suomenlinna;sv;
project_district;Suomenlinna;Suomenlinna;en;
project_district;Sörnäinen;;fi;
project_district;Sörnäs;Sörnäinen;sv;
project_district;Sörnäinen;Sörnäinen;en;
project_district;Tammisalo;;fi;
project_district;Tammelund;Tammisalo;sv;
project_district;Tammisalo;Tammisalo;en;
project_district;Tuomarinkylä;;fi;
project_district;Domarby;Tuomarinkylä;sv;
project_district;Tuomarinkylä;Tuomarinkylä;en;
project_district;Ultuna;;fi;
project_district;Ultuna;Ultuna;sv;
project_district;Ultuna;Ultuna;en;
project_district;Vartiokylä;;fi;
project_district;Botby;Vartiokylä;sv;
project_district;Vartiokylä;Vartiokylä;en;
project_district;Villinki;;fi;
project_district;Villinge;Villinki;sv;
project_district;Villinki;Villinki;en;
project_district;Östersundom;;fi;
project_district;Östersundom;Östersundom;sv;
project_district;Östersundom;Östersundom;en;
project_district;Hakaniemi;;fi;
project_district;Hagnäs;Hakaniemi;sv;
project_district;Hakaniemi;Hakaniemi;en;
project_district;Hernesaari ja Telakkaranta;;fi;
project_district;Ärtholmen och Dockstranden;Hernesaari ja Telakkaranta;sv;
project_district;Hernesaari ja Telakkaranta;Hernesaari ja Telakkaranta;en;
project_district;Jätkäsaari;;fi;
project_district;Busholmen;Jätkäsaari;sv;
project_district;Jätkäsaari;Jätkäsaari;en;
project_district;Kaivopuisto;;fi;
project_district;Brunssparken;Kaivopuisto;sv;
project_district;Kaivopuisto;Kaivopuisto;en;
project_district;Karhusaari;;fi;
project_district;Björnsö;Karhusaari;sv;
project_district;Karhusaari;Karhusaari;en;
project_district;Konala;;fi;
project_district;Kånala;Konala;sv;
project_district;Konala;Konala;en;
project_district;Kannelmäki;;fi;
project_district;Gamlas;Kannelmäki;sv;
project_district;Kannelmäki;Kannelmäki;en;
project_district;Kruunuvuorenranta;;fi;
project_district;Kronbergsstranden;Kruunuvuorenranta;sv;
project_district;Kruunuvuorenranta;Kruunuvuorenranta;en;
project_district;Kulosaari;;fi;
project_district;Brändö;Kulosaari;sv;
project_district;Kulosaari;Kulosaari;en;
project_district;Laajasalo;;fi;
project_district;Degerö;Laajasalo;sv;
project_district;Laajasalo;Laajasalo;en;
project_district;Länsisatama;;fi;
project_district;Västra hamnen;Länsisatama;sv;
project_district;Länsisatama;Länsisatama;en;
project_district;Meilahti;;fi;
project_district;Mejlans;Meilahti;sv;
project_district;Meilahti;Meilahti;en;
project_district;Mustikkamaa-Korkeasaari;;fi;
project_district;Blåbärslandet-Högholmen;Mustikkamaa-Korkeasaari;sv;
project_district;Mustikkamaa-Korkeasaari;Mustikkamaa-Korkeasaari;en;
project_district;Pakila;;fi;
project_district;Baggböle;Pakila;sv;
project_district;Pakila;Pakila;en;
project_district;Pukinmäki;;fi;
project_district;Bocksbacka;Pukinmäki;sv;
project_district;Pukinmäki;Pukinmäki;en;
project_district;Salmenkallio;;fi;
project_district;Sundberg;Salmenkallio;sv;
project_district;Salmenkallio;Salmenkallio;en;
project_district;Suurmetsä;;fi;
project_district;Storskog;Suurmetsä;sv;
project_district;Suurmetsä;Suurmetsä;en;
project_district;Töölö;;fi;
project_district;Tölö;Töölö;sv;
project_district;Töölö;Töölö;en;
project_district;Tapaninkylä;;fi;
project_district;Staffansby;Tapaninkylä;sv;
project_district;Tapaninkylä;Tapaninkylä;en;
project_district;Ulkosaaret;;fi;
